SampleID,Short Description,Biomass.Type,Class,Subclass,State,Location.Notes,LinkRef,Source,Full Description,Notes,Field11,Field12,Mod_By,Last_Mod,Moist ar,Moist ad,Ash ar,Ash ad,Ash db,VM ar,VM ad,VM db,VM daf,FC ar,FC ad,FC db,FC daf,CV MJ/kg ar,CV MJ/kg ad,CV MJ/kg db,CV MJ/kg daf,CV kcal/kg ar,CV kcal/kg ad,CV kcal/kg db,CV kcal/kg daf,C ar,C ad,C db,C daf,H ar,H ad,H db,H daf,N ar,N ad,N db,N daf,S ar,S ad,S db,S daf,O ar,O ad,O db,O daf,Cl mg/kg ar,Cl mg/kg ad,Cl mg/kg db,Cl mg/kg daf,Analysis.Note.1,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,FileNameRef,Extension,Data Sources,SSC_NAME16,STE_NAME16,Longitude,Latitude
119,Food waste (MSW),Urban Waste,MSW,Food waste (MSW),QLD,Willawong,132,CSIRO2014,Food waste selected and collected from piles of municipal solid waste,"Food waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Food waste,Food waste,SSH,10/09/2020,70.6,,1.79,,6.1,22.67,,77.1,82.02,4.97,,16.9,17.98,5.97,,20.3,21.6,1426,,4852,5162,14.2,,48.4,51.5,1.97,,6.7,7.14,0.86,,2.94,3.13,0.06,,0.2,0.21,10.23,,34.8,37.06,2528,,8600,9159,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",11.7,2.98,1.12,6,18.1,6.12,44.4,0.08,0.05,0.92,8.53,3001,JPG,"Food waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
120,Garden waste (MSW),Urban Waste,MSW,Garden waste (MSW),QLD,Willawong,133,CSIRO2014,Garden waste selected and collected from piles of municipal solid waste,"Garden waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Garden waste,Garden waste,SSH,10/09/2020,59.9,,3.33,,8.3,28.03,,69.9,76.23,8.74,,21.8,23.77,7.5,,18.7,20.39,1792,,4469,4874,19.1,,47.7,52,2.29,,5.7,6.22,0.5,,1.24,1.35,0.08,,0.21,0.23,14.54,,36.26,39.54,2366,,5900,6434,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",1.42,6.4,2.46,43.2,4.35,9.92,21.9,0.24,0.13,1.17,8.81,3002,JPG,"Garden waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
121,Printing paper waste (MSW),Urban Waste,MSW,Printing paper (MSW),QLD,Willawong,134,CSIRO2014,Printing paper waste selected and collected from piles of municipal solid waste,"Printing paper waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Printing paper,Printing paper,SSH,10/09/2020,19.8,,7.78,,9.7,59.99,,74.8,82.83,12.43,,15.5,17.17,13.07,,16.3,18.05,3124,,3896,4314,34.4,,42.9,47.5,4.33,,5.4,5.98,0.1,,0.13,0.14,0.02,,0.03,0.03,33.49,,41.76,46.25,642,,800,886,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",1.98,1.56,15.5,24,0.34,0.65,53.2,0.28,0.05,1.23,1.21,3003,JPG,"Printing paper waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
122,Packaging paper waste (MSW),Urban Waste,MSW,Packaging paper (MSW),QLD,Willawong,135,CSIRO2014,Packaging paper waste selected and collected from piles of municipal solid waste,"Packaging paper waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Packaging paper,Packaging paper,SSH,10/09/2020,25,,9.15,,12.2,56.55,,75.4,85.88,9.3,,12.4,14.12,11.63,,15.5,17.65,2778,,3705,4219,30.9,,41.2,46.9,3.9,,5.2,5.92,0.14,,0.19,0.22,0.06,,0.08,0.09,30.78,,41.04,46.74,675,,900,1025,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",1.8,3.27,13.8,21.5,0.28,0.34,55,1.46,0.04,0.74,1.77,3004,JPG,"Packaging paper waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
123,Packaging plastic waste (MSW),Urban Waste,MSW,Packaging plastic (MSW),QLD,Willawong,136,CSIRO2014,Packaging plastic waste selected and collected from piles of municipal solid waste,"Packaging plastic waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Packaging plastic,Packaging plastic,SSH,10/09/2020,25.6,,2.9,,3.9,68.08,,91.5,95.21,3.42,,4.6,4.79,19.27,,25.9,26.95,4606,,6190,6441,54.2,,72.8,75.8,6.99,,9.4,9.78,0.25,,0.34,0.35,0.02,,0.03,0.03,8.58,,11.53,12,14880,,20000,20812,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",0.97,2.44,16.9,19.3,2.22,0.12,37.3,16.8,0.08,2.45,1.42,3005,JPG,"Packaging plastic waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). ",Willawong,Queensland,153.0057,-27.602
124,Non-packaging plastic waste (MSW),Urban Waste,MSW,Non-packaging plastic (MSW),QLD,Willawong,137,CSIRO2014,Non-packaging plastic waste selected and collected from piles of municipal solid waste,"Non-packaging plastics waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Other plastic,Non-packaging plastic,SSH,10/09/2020,2.2,,1.27,,1.3,95.65,,97.8,99.09,0.88,,0.9,0.91,39.71,,40.6,41.13,9490,,9704,9831,82,,83.8,84.9,9.29,,9.5,9.63,3.24,,3.31,3.35,0.03,,0.03,0.03,0.94,,0.96,0.97,10758,,11000,11145,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",0.17,2.77,6,17.7,1.01,,54.1,5.8,0.09,3.11,9.25,3006,JPG,"Non-packaging plastics waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
125,Textiles (MSW),Urban Waste,MSW,Textiles (MSW),QLD,Willawong,138,CSIRO2014,Textile waste selected and collected from piles of municipal solid waste,"Textile waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Textiles,Textiles,SSH,10/09/2020,20.1,,1.12,,1.4,65.28,,81.7,82.86,13.5,,16.9,17.14,16.7,,20.9,21.2,3991,,4995,5066,41.4,,51.8,52.5,4.87,,6.1,6.19,1.39,,1.74,1.76,0.16,,0.2,0.2,30.93,,38.71,39.26,400,,500,507,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",5.3,3.76,5.3,24.8,4.06,3.72,12.2,29.6,0.05,1.47,9.74,3007,JPG,"Textile waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). ",Willawong,Queensland,153.0057,-27.602
126,Woody waste (MSW),Urban Waste,MSW,Woody waste (MSW),QLD,Willawong,139,CSIRO2014,Woody waste selected and collected from piles of municipal solid waste,"Woody waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Woody waste,Woody waste,SSH,10/09/2020,11.9,,0.88,,1,71.18,,80.8,81.62,16.03,,18.2,18.38,17.18,,19.5,19.7,4106,,4661,4708,43.7,,49.6,50.1,5.37,,6.1,6.16,0.15,,0.17,0.17,0.02,,0.02,0.02,37.92,,43.04,43.47,617,,700,707,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",3.63,4.66,9.1,13,1.09,3.28,35.6,9.9,0.21,7.6,11.93,3008,JPG,"Woody waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). ",Willawong,Queensland,153.0057,-27.602
127,Other combustible waste (MSW),Urban Waste,MSW,Other combustibles (MSW),QLD,Willawong,140,CSIRO2014,Other combustible waste selected and collected from piles of municipal solid waste,"Other combustible waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Other combustibles,Other combustibles,SSH,10/09/2020,28.2,,14.65,,20.4,51.91,,72.3,90.83,5.24,,7.3,9.17,18.38,,25.6,32.16,4393,,6119,7687,40.3,,56.1,70.5,5.03,,7,8.79,0.93,,1.3,1.63,0.47,,0.66,0.83,10.02,,13.95,17.53,4236,,5900,7412,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",20.2,0.73,7.9,46.2,1.51,1.84,10,0.58,0.02,0.92,10.1,3009,JPG,"Other combustible waste randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
128,Municipal solid waste,Urban Waste,MSW,Combustibles (MSW),QLD,Willawong,141,CSIRO2014,Municipal solid waste containing 9 combustible components without any non-cobustibles e.g. glasses and metals,"Municipal solid waste containing 9 combustible components randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014). These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",MSW,MSW,SSH,10/09/2020,49.5,,3.84,,7.6,39.09,,77.4,83.68,7.63,,15.1,16.32,11.36,,22.5,24.32,2716,,5378,5814,26.7,,52.8,57.1,3.23,,6.4,6.93,0.65,,1.29,1.4,0.09,,0.18,0.19,15.66,,31,33.55,3687,,7300,7900,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",10.02,2.27,8.91,28.12,4.35,2.491746032,34.21,1.81,0.04,1.09,6.69,3010,JPG,"Municipal solid waste containing 9 combustible components  randomly selected and collected by EnvironCom (Brisbane) from five bathces of MSW piles at Willawong Transfer station, Brisbane (February, 2014).",Willawong,Queensland,153.0057,-27.602
129,Green waste,Urban Waste,Green waste,Shredded green waste,QLD,Willawong,142,CSIRO2014,Green waste collected from Willawong waste transfer station,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014. These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Green waste,Green waste,SSH,11/09/2020,28.7,,10.12,,14.2,46.7,,65.5,76.34,14.47,,20.3,23.66,12.26,,17.2,20.05,2931,,4111,4791,31.3,,43.9,51.2,3.85,,5.4,6.29,0.53,,0.74,0.86,0.09,,0.12,0.14,25.18,,35.31,41.15,2353,,3300,3846,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: I.S.CEN/TS 15148:2006 (modified) Standard; Ash: I.S.CEN/TS 14775:2004 Standard; C,H,N: ISO/TS 12902:2001 Standard; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",,,,,,,,,,,,3011,JPG,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014.",Willawong,Queensland,153.0057,-27.602
130,Green waste,Urban Waste,Green waste,Shredded green waste,QLD,Willawong,143,CSIRO2014,Green waste collected from Willawong waste transfer station,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014. These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Green waste,Green waste,SSH,11/09/2020,35.5,,5.1,,7.9,45.86,,71.1,77.2,13.55,,21,22.8,11.87,,18.4,19.98,2837,,4398,4775,30.6,,47.5,51.6,3.35,,5.2,5.65,0.52,,0.81,0.88,0.09,,0.14,0.15,24.51,,38,41.26,3096,,4800,5212,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: I.S.CEN/TS 15148:2006 (modified) Standard; Ash: I.S.CEN/TS 14775:2004 Standard; C,H,N: ISO/TS 12902:2001 Standard; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",,,,,,,,,,,,3012,JPG,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014.",Willawong,Queensland,153.0057,-27.602
131,Green waste,Urban Waste,Green waste,Raw Green waste,QLD,Willawong,144,CSIRO2014,Green waste collected from Willawong waste transfer station,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014. These results were published in an international journal: Hla and Roberts, Waste Management 41 (2015) 12-19.",Green waste,Green waste,SSH,11/09/2020,46,,6.21,,11.5,36.77,,68.1,76.95,11.02,,20.4,23.05,9.56,,17.7,20,2284,,4230,4780,24.8,,46,52,2.92,,5.4,6.1,0.55,,1.02,1.15,0.08,,0.14,0.16,19.17,,35.5,40.11,2592,,4800,5424,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: I.S.CEN/TS 15148:2006 (modified) Standard; Ash: I.S.CEN/TS 14775:2004 Standard; C,H,N: ISO/TS 12902:2001 Standard; S:CEN/TS 15289:2006(E) by ICP-OES; Cl: CEN/TS 15289:2006(E) by titration.",,,,,,,,,,,,3013,JPG,"One of the 3 samples of green waste collected from Willawong waste transfer station over a 3-week period in February, 2014.",Willawong,Queensland,153.0057,-27.602
132,Green waste,Urban Waste,Green waste,Shredded green waste,QLD,Willawong,145,CSIRO2015,Green waste collected from Willawong waste transfer station,Shredded green waste collected from Willawong waste transfer station in 2015 for QCAT biomass gasifier run. The results were presented in BioEnergy Australia Conference 2015.,Green waste,Green waste,SSH,11/09/2020,38.8,,4.9,,8,44.13,,72.1,78.37,12.18,,19.9,21.63,10.39,,16.97,18.45,2482,,4056,4409,28.9,,47.2,51.3,3.43,,5.6,6.09,0.45,,0.73,0.79,0.07,,0.11,0.12,23.48,,38.36,41.7,,,,,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM, FC, Ash:AS1038.3 ; C,H,N: AS1038.6.4; S:AS1038.6.3.3; O: AS1038.16.",2.73,4.07,5.4,43.5,3.22,7.907936508,19.2,0.49,0.15,2.36,10.97,3014,JPG,Shredded green waste collected from Willawong waste transfer station in 2015 for QCAT biomass gasifier run.,Willawong,Queensland,153.0057,-27.602
133,Hardwood chips,Industrial Processing,Timber industry,Woodchips (Hardwood),QLD,QLD,146,CSIRO2015,Hardwood chips bought from a local landscaping store in Brisbane,Hardwood chips bought from a Brisbne local landscaping storein 2015 for QCAT biomass gasifier run. The results were presented in BioEnergy Australia Conference 2015.,Woodchip,Woodchip,SSH,11/09/2020,22.1,,0.41,,0.53,65.24,,83.75,84.2,12.25,,15.72,15.8,15.12,,19.41,19.51,3614,,4639,4664,38.9,,49.88,50.1,4.52,,5.8,5.83,0.06,,0.08,0.08,0.01,,0.01,0.01,34.04,,43.7,43.93,,,,,"Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; VM: AS2434.2; Ash: HRL Method 1.6, using a Leco MAC Analyser; C,H,N: AS1038.6.4, using a Leco Truspec CHN Analyser; S:CEN/TS 15289:2006(E) by ICP-OES.",2.72,8.2,1.68,10.2,2.09,6.341269841,49.3,0.17,0.98,0.95,17.37,3015,JPG,Hardwood chips bought from a Brisbne local landscaping storein 2015 for QCAT biomass gasifier run. Exact sources of orginin unknown.,Queensland,Queensland,,
134,Biosolids,Urban Waste,Biosolids,Treated biosolids,QLD,Rocklea,147,CSIRO2016,Treated biosolids collected from Oxley wastewater treatement plant,Treated biosolids collected from Oxley wastewater treatement plant in 2016. The results were presented in BioEnergy Australia Conference 2017.,Biosolids,Biosolids,SSH,11/09/2020,74.1,,10.7,,41.3,13.03,,50.3,85.69,2.18,,8.4,14.31,3.63,,14,23.85,867,,3346,5700,8.1,,31.1,53,1.22,,4.7,8.01,2.54,,9.82,16.73,0.31,,1.18,2.01,3.08,,11.9,20.27,,,,,"Analysed methods are Moisture: EN 14774-3:2009 Standard; VM: ISO 18123:2015; Ash: EN 14775:2009 Standard; C,H,N: ISO 16948:2015 Standard, S:ISO 16994:2016; CV: EN 14918:2009 Standard.",0.65,8.8,11.1,15.6,36.9,1.447301587,9.9,1.1,0.12,12.1,2.28,3016,JPG,Treated biosolids,Rocklea,Queensland,153.0099,-27.5473
135,Wood pellet,Industrial Processing,Timber industry,Wood pellet (softwood),QLD,Maryborough,148,CSIRO2017,Industrial grade wood pellets made from 100% pine sawdust ,A ton of industrial grade wood pellets made from 100% pine sawdust provided by Altus Renewables: ordered for biomass gasification run.,Wood pellet,Wood pellet,SSH,11/09/2020,6.6,,0.38,,0.41,79.76,,85.4,85.74,13.26,,14.2,14.26,19.89,,21.3,21.39,4755,,5091,5111,49,,52.5,52.7,5.88,,6.3,6.33,0.12,,0.13,0.13,0.02,,0.02,0.02,37.96,,40.64,40.81,,,,,"Analysed methods are Moisture: EN 14774-3:2009 Standard; VM: ISO 18123:2015; Ash: EN 14775:2009 Standard; C,H,N: ISO 16948:2015 Standard, S:ISO 16994:2016; CV: EN 14918:2009 Standard.",3.74,15.5,1.56,6,7.2,13.05555556,30,0.08,1.2,0.79,20.87,3017,JPG,A ton of industrial grade wood pellets made from 100% pine sawdust provided by Altus Renewables: ordered for biomass gasification run.,Maryborough,Queensland,152.6971,-25.5233
136,Biosolids pellet,Urban Waste,Biosolids,Biosolids pellet,QLD,Pinkenba,149,CSIRO2020,Biosolids pellet samples provided by Luggage Point sewage treatment plant operated by Queensland Urban Utilities,Biosolids pellet samples provided in June 2020 by Luggage Point sewage treatment plant operated by Queensland Urban Utilities in order to assesse for gasification.,Biosolids pellet,Biosolids pellet,SSH,11/09/2020,16,,28.48,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysed methods are Moisture: SIS-CEN/TS 14774-3:2004 Standard; Ash: EN 14775:2009 Standard.,1.28,6.9,10.9,23,23.1,0.88031746,10,0.93,0.11,15.3,7.6,3018,JPG,Biosolids pellet samples provided in June 2020 by Luggage Point sewage treatment plant operated by Queensland Urban Utilities in order to assesse for gasification.,Pinkenba,Queensland,153.1488,-27.3799
137,Eucalyptus Kochii wood chip,Industrial Processing,Timber industry,Hardwood (Eucalyptus),WA,Kalannie,150,DPIRDWA2021,"Chip sample was collected about 20km west of Kalannie by Kochii Oil Pty Ltd. Chemical analysis data were provided by DPIRD, WA on 21/07/2021.",Chip sample was collected about 20km west of Kalannie by Kochii Oil Pty Ltd.,Eucalypt,chips,SSH,27/07/2021,9.6,3.7,1,1.1,1.1,74.1,79,82,83,15.2,16.2,16.8,17,17.39,18.53,19.25,19.45,4156,4429,4601,4649,44,46.8,48.7,49.2,5.23,5.57,5.79,5.85,0.62,0.66,0.68,0.68,0.04,0.04,0.04,0.04,39.5,42.1,43.7,44.1,800,800,800,895,"Analysed methods are Preparation: AS4264.1; Total Moisture: AS1038.1; Proximate: AS1038.3; Gross Calorific Value: AS1038.5; C, N, H: AS1038.6.4; Total Sulfur: AS1038.6.3.3; Chlorine (Eschka): AS1038.8.",,,,,,,,,,,,3019,JPG,"Chip sample was collected about 20km west of Kalannie by Kochii Oil Pty Ltd. Chemical analysis data were provided by DPIRD, WA on 21/07/2021.",Kalannie,Western Australia,116.882,-30.353
138,Eucalyptus kochii leaf and twig ,Industrial Processing,Other,Hardwood (Eucalyptus),WA,Kalannie,151,DPIRDWA2022,"Original biomass materials were collected from a 50km radius around Kalannie by Kochii Oil Pty Ltd. The leaf and twig sampels were output of extraction of eucalyptus oil process. Chemical analysis data were provided by DPIRD, WA on 21/07/2021. ",Samples were collected from a 50km radius around Kalannie by Kochii Oil Pty Ltd. Exact place of sample collected could not be located.,Eucalypt,leaves,SSH,27/07/2021,6.6,3.6,7.4,7.7,8,68.5,70.8,73.4,79.8,17.4,17.9,18.6,20.2,18.59,19.19,19.91,21.62,4443,4587,4759,5167,45.8,47.2,49,53.2,5.52,5.7,5.91,6.41,0.12,0.13,0.13,0.14,0.09,0.09,0.09,0.11,34.4,35.5,36.9,40,2400,2500,2600,2791,"Analysed methods are Preparation: AS4264.1; Total Moisture: AS1038.1; Proximate: AS1038.3; Gross Calorific Value: AS1038.5; C, N, H: AS1038.6.4; Total Sulfur: AS1038.6.3.3; Chlorine (Eschka): AS1038.8.",,,,,,,,,,,,3020,JPG,"Samples were collected from a 50km radius around Kalannie by Kochii Oil Pty Ltd. Chemical analysis data were provided by DPIRD, WA on 21/07/2021.",Kalannie,Western Australia,117.12,-30.36
139,Composting byproducts (large size),Industrial Processing,Other,Wood waste and plastics waste,QLD,Yatala,152,CSIRO2023,"Composting byproducts (large) sample, 5.05 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.","Composting byproducts (large) sample, 5.05 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.",Mixed wastes,Wood waste and plastics waste,SSH,8/09/2023,40.3,,5.02,,8.41,42.41,,71.05,77.57,12.26,,20.54,22.42,11.09,,18.58,20.29,2651,,4441,4849,27.16,,45.49,49.67,3.39,,5.68,6.2,0.76,,1.27,1.39,0.1,,0.17,0.19,22.5,,37.69,41.15,7642,,12800,13975,"Analysed methods are Moisture: CEN/TS 15414:2010; VM, FC, Ash:CEN/TS 15402:2011; C,H,N,O: I.S EN 15407.:2011; S:EN 15408:2011; Cl: EN 15408:2011, CV: EN 15400:2011.",,,,,,,,,,,,3021,JPG,"Composting byproducts (large) sample, 5.05 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.",Yatala,Queensland,153.2175,-27.7508
140,Composting byproducts (Medium size),Industrial Processing,Other,Wood waste and plastics waste,QLD,Yatala,153,CSIRO2023,"Composting byproducts (Medium) sample, 7.6 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.","Composting byproducts (medium) sample, 7.6 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.",Mixed wastes,Wood waste and plastics waste,SSH,8/09/2023,32.5,,9.17,,13.59,46.47,,68.85,79.68,11.86,,17.56,20.32,12.08,,17.9,20.72,2887,,4278,4952,30.14,,44.65,51.67,3.79,,5.62,6.5,0.71,,1.05,1.22,0.11,,0.16,0.19,22.94,,33.98,39.32,6480,,9600,11110,"Analysed methods are Moisture: CEN/TS 15414:2010; VM, FC, Ash:CEN/TS 15402:2011; C,H,N,O: I.S EN 15407.:2011; S:EN 15408:2011; Cl: EN 15408:2011, CV: EN 15400:2011.",,,,,,,,,,,,3022,JPG,"Composting byproducts (medium) sample, 7.6 kg, were collected from Phoenix Power Recyclers site at Yatala, Qld on 11/01/2023.",Yatala,Queensland,153.2175,-27.7508
141,Algae (Phyllospora),Agricultural,Other,Algae (Phyllospora),VIC,Phillip Island,154,CSIRO 2023,"Samples of Algae (Phyllospora) were collected from the open waters near the shoreline of Victoria, specifically off the coast of Phillip Island in October 2022","Samples of Algae (Phyllospora) were collected from the open waters near the shoreline of Victoria, specifically off the coast of Phillip Island in October 2023",Algae,Algae Phyllospora,SSH,8/09/2023,,,,,22.69,,,69.16,89.46,,,8.15,10.54,,,13.2,17.07,,,3155,4080,,,36.1,46.7,,,4.4,5.69,,,0.98,1.27,,,0.95,1.23,,,32.29,41.77,,,25900,33501,"Analysed methods are Moisture: CEN/TS 15414:2010; VM, FC: ISO 18123: Ash: ISO 18122; C,H,N,O: I.S EN ISO 16948:2015; S:ISO 16994:2016; Cl: ISO 16994:2016, ISO DIS 18125.",17.63,9.96,0.28,5.26,2.37,29.76,15.51,0.07,0.03,0.33,18.76,3023,JPG,"Samples of Algae (Phyllospora) were collected from the open waters near the shoreline of Victoria, specifically off the coast of Phillip Island in October 2022.",Phillip Island,Victoria,145.2038,-38.4899
